computer_time,GPS_time,latitude,longitude,altitude,track,mode
1648580761.888225,1648580762,71.328733,-156.692491833,7.2,0.0,3
1648580762.893851,1648580763,71.328733167,-156.692490333,7.1,0.0,3
1648580763.898841,1648580764,71.328733333,-156.692489,7.1,0.0,3
1648580764.803914,1648580765,71.328733667,-156.692488667,7.0,0.0,3
1648580765.909765,1648580766,71.328733667,-156.692489333,7.0,0.0,3
1648580766.816934,1648580767,71.328733667,-156.692489833,7.0,0.0,3
1648580767.822742,1648580768,71.3287335,-156.692490667,7.0,0.0,3
1648580768.828600,1648580769,71.328733333,-156.692491667,7.1,0.0,3
1648580769.835036,1648580770,71.328733167,-156.692491667,7.3,0.0,3
1648580770.840800,1648580771,71.328733,-156.692491333,7.3,0.0,3
1648580771.846825,1648580772,71.328733167,-156.692490667,7.4,0.0,3
1648580772.852511,1648580773,71.328733167,-156.69249,7.4,0.0,3
1648580773.858788,1648580774,71.328733667,-156.692488333,7.4,0.0,3
1648580774.864395,1648580775,71.328734167,-156.692487,7.5,0.0,3
1648580775.869069,1648580776,71.328734167,-156.692486667,7.6,0.0,3
1648580776.874049,1648580777,71.328734167,-156.692487167,7.5,0.0,3
1648580777.879029,1648580778,71.328734167,-156.6924875,7.4,0.0,3
1648580778.884375,1648580779,71.328734167,-156.692487833,7.4,0.0,3
1648580779.889080,1648580780,71.328734,-156.692487333,7.3,0.0,3
1648580780.894910,1648580781,71.328733833,-156.692487167,7.3,0.0,3
1648580781.900059,1648580782,71.328733833,-156.692486333,7.2,0.0,3
1648580782.805756,1648580783,71.328733833,-156.692485333,7.2,0.0,3
1648580783.811293,1648580784,71.328734,-156.692485,7.1,0.0,3
1648580784.816773,1648580785,71.328734167,-156.692484,7.1,0.0,3
1648580785.822597,1648580786,71.3287345,-156.692483,7.0,0.0,3
1648580786.827966,1648580787,71.3287345,-156.692482333,7.0,0.0,3
1648580787.833584,1648580788,71.3287345,-156.692481833,6.9,0.0,3
1648580788.839301,1648580789,71.328734667,-156.6924815,6.9,0.0,3
1648580789.844016,1648580790,71.328734667,-156.692481,6.9,0.0,3
1648580790.849909,1648580791,71.328734833,-156.692480167,6.9,0.0,3
1648580791.855581,1648580792,71.328735,-156.692479333,6.9,0.0,3
1648580792.861712,1648580793,71.328734833,-156.6924795,6.8,0.0,3
1648580793.867297,1648580794,71.328734667,-156.69248,6.7,0.0,3
1648580794.873225,1648580795,71.328734667,-156.692480333,6.6,0.0,3
1648580795.879117,1648580796,71.328735,-156.6924795,6.5,0.0,3
1648580796.885027,1648580797,71.3287355,-156.692479,6.5,0.0,3
1648580797.890675,1648580798,71.328736,-156.6924785,6.4,0.0,3
1648580798.895934,1648580799,71.328736,-156.692478,6.3,0.0,3
1648580799.902019,1648580800,71.328736,-156.692478167,6.1,0.0,3
1648580800.806623,1648580801,71.328736,-156.692478833,6.1,0.0,3
1648580801.811582,1648580802,71.328735667,-156.692479833,6.1,0.0,3
1648580802.817260,1648580803,71.328735667,-156.692480667,6.1,0.0,3
1648580803.823221,1648580804,71.328735667,-156.692481333,6.0,0.0,3
1648580804.829623,1648580805,71.328735667,-156.692482667,6.0,0.0,3
1648580805.835054,1648580806,71.328735667,-156.692483333,5.9,0.0,3
1648580806.841334,1648580807,71.328735667,-156.692483,5.9,0.0,3
1648580807.846764,1648580808,71.328735667,-156.6924825,5.9,0.0,3
1648580808.852065,1648580809,71.328735833,-156.692481833,5.9,0.0,3
1648580809.857536,1648580810,71.328736167,-156.692481333,5.9,0.0,3
1648580810.862691,1648580811,71.328736333,-156.692481167,5.9,0.0,3
1648580811.868371,1648580812,71.328736667,-156.692481333,5.8,0.0,3
1648580812.873843,1648580813,71.328737,-156.692481167,5.8,0.0,3
1648580813.880191,1648580814,71.328737,-156.692480833,5.8,0.0,3
1648580814.885779,1648580815,71.328736667,-156.692481333,5.9,0.0,3
1648580815.892066,1648580816,71.328736667,-156.692481333,6.0,0.0,3
1648580816.797813,1648580817,71.328736833,-156.692481333,6.0,0.0,3
1648580817.870444,1648580818,71.328737,-156.692480833,6.0,0.0,3
1648580818.877154,1648580819,71.328737,-156.692479333,5.8,0.0,3
1648580819.882860,1648580820,71.328737167,-156.692478,5.8,0.0,3
1648580820.888732,1648580821,71.328737333,-156.6924765,5.8,0.0,3
1648580821.894627,1648580822,71.328737667,-156.692474667,5.7,0.0,3
1648580822.800590,1648580823,71.328738333,-156.692472833,5.7,0.0,3
1648580823.805525,1648580824,71.328738833,-156.692471,5.7,0.0,3
1648580824.810271,1648580825,71.328739,-156.692469833,5.8,0.0,3
1648580825.815132,1648580826,71.328739167,-156.692468667,5.9,0.0,3
1648580826.818691,1648580827,71.3287395,-156.6924675,5.9,0.0,3
1648580827.822033,1648580828,71.328739667,-156.692466833,6.0,0.0,3
1648580828.826285,1648580829,71.32874,-156.692466333,6.0,0.0,3
1648580829.830969,1648580830,71.328739833,-156.692466333,6.1,0.0,3
1648580830.835613,1648580831,71.32874,-156.692465,6.1,0.0,3
