computer_time,GPS_time,latitude,longitude,altitude,track,mode
1648665821.721584,1648665824,71.328721,-156.692538167,5.8,0.0,3
1648665822.727503,1648665825,71.328720833,-156.692538167,5.8,0.0,3
1648665823.733460,1648665826,71.328721,-156.692537833,5.8,0.0,3
1648665824.739889,1648665827,71.328721,-156.692538,5.8,0.0,3
1648665825.745257,1648665828,71.328720833,-156.6925385,5.8,0.0,3
1648665826.749909,1648665829,71.328720667,-156.6925385,5.8,0.0,3
1648665827.755600,1648665830,71.328720333,-156.6925395,5.8,0.0,3
1648665828.760903,1648665831,71.328720167,-156.692540167,5.8,0.0,3
1648665829.766684,1648665832,71.328720167,-156.6925405,5.8,0.0,3
1648665830.771861,1648665833,71.328720167,-156.692541,5.8,0.0,3
1648665831.777643,1648665834,71.328720167,-156.692541167,5.7,0.0,3
1648665832.783510,1648665835,71.328720333,-156.692541167,5.6,0.0,3
1648665833.789260,1648665836,71.328720333,-156.692541833,5.6,0.0,3
1648665834.794476,1648665837,71.328720167,-156.692542,5.5,0.0,3
1648665835.699076,1648665838,71.32872,-156.692542167,5.5,0.0,3
1648665836.706081,1648665839,71.328719833,-156.692542667,5.5,0.0,3
1648665837.711259,1648665840,71.328719667,-156.692542833,5.4,0.0,3
1648665838.717060,1648665841,71.3287195,-156.692543,5.5,0.0,3
1648665839.722531,1648665842,71.328719333,-156.692542667,5.5,0.0,3
1648665840.727713,1648665843,71.328719333,-156.692542333,5.5,0.0,3
1648665841.733450,1648665844,71.328719333,-156.692542,5.6,0.0,3
1648665842.739483,1648665845,71.328719333,-156.6925415,5.6,0.0,3
1648665843.744942,1648665846,71.3287195,-156.692540833,5.6,0.0,3
1648665844.750873,1648665847,71.3287195,-156.6925405,5.7,0.0,3
1648665845.756786,1648665848,71.3287195,-156.692540333,5.7,0.0,3
1648665846.762851,1648665849,71.3287195,-156.692540167,5.7,0.0,3
1648665847.799676,1648665850,71.328719333,-156.692540333,5.7,0.0,3
1648665848.704964,1648665851,71.328719167,-156.692540667,5.8,0.0,3
1648665849.710051,1648665852,71.328719,-156.692541333,5.8,0.0,3
1648665850.716096,1648665853,71.328718833,-156.692542333,5.8,0.0,3
1648665851.721102,1648665854,71.328718667,-156.6925435,5.8,0.0,3
1648665852.726493,1648665855,71.328718667,-156.692544,5.9,0.0,3
1648665853.730930,1648665856,71.328718833,-156.692543667,5.9,0.0,3
1648665854.735024,1648665857,71.328718833,-156.692543833,6.0,0.0,3
1648665855.740696,1648665858,71.328718833,-156.692544167,5.9,0.0,3
1648665856.746407,1648665859,71.3287185,-156.692544167,5.7,0.0,3
1648665857.752475,1648665860,71.3287185,-156.692544333,5.6,0.0,3
1648665858.758339,1648665861,71.3287185,-156.692544167,5.4,0.0,3
1648665859.764005,1648665862,71.3287185,-156.692544,5.3,0.0,3
1648665860.769182,1648665863,71.328718333,-156.692544,5.0,0.0,3
1648665861.774421,1648665864,71.328718667,-156.692543333,5.0,0.0,3
1648665862.779542,1648665865,71.328718667,-156.692543833,4.9,0.0,3
1648665863.784504,1648665866,71.328718833,-156.692543833,4.8,0.0,3
1648665864.789060,1648665867,71.328719,-156.692543167,4.9,0.0,3
1648665865.792993,1648665868,71.328719333,-156.692542833,5.0,0.0,3
1648665866.698253,1648665869,71.3287195,-156.692543,4.9,0.0,3
1648665867.706429,1648665870,71.328719667,-156.692543,5.0,0.0,3
1648665868.712716,1648665871,71.328719833,-156.6925425,5.0,0.0,3
1648665869.717917,1648665872,71.32872,-156.692542167,5.0,0.0,3
1648665870.723334,1648665873,71.32872,-156.692542667,5.0,0.0,3
1648665871.729614,1648665874,71.328720333,-156.692542333,5.2,0.0,3
1648665872.735468,1648665875,71.328720667,-156.6925425,5.2,0.0,3
1648665873.741578,1648665876,71.328720667,-156.6925425,5.3,0.0,3
1648665874.747648,1648665877,71.3287205,-156.692544,5.2,0.0,3
1648665875.753337,1648665878,71.3287205,-156.692545167,5.2,0.0,3
1648665876.760037,1648665879,71.328720333,-156.692545833,5.1,0.0,3
1648665877.765700,1648665880,71.328720167,-156.692546667,5.0,0.0,3
1648665878.737489,1648665881,71.328720167,-156.692547333,5.0,0.0,3
1648665879.741729,1648665882,71.32872,-156.692547,5.1,0.0,3
1648665880.746247,1648665883,71.328719833,-156.692547,5.1,0.0,3
1648665881.749728,1648665884,71.3287195,-156.692547333,5.2,0.0,3
1648665882.754173,1648665885,71.3287195,-156.692547167,5.3,0.0,3
1648665883.758720,1648665886,71.328719167,-156.692547167,5.3,0.0,3
1648665884.763140,1648665887,71.328719,-156.692547333,5.3,0.0,3
1648665885.769177,1648665888,71.328718833,-156.692548,5.3,0.0,3
1648665886.774620,1648665889,71.3287185,-156.692548667,5.2,0.0,3
1648665887.780684,1648665890,71.328718333,-156.692549167,5.1,0.0,3
1648665888.786668,1648665891,71.328718167,-156.692549,5.1,0.0,3
1648665889.792286,1648665892,71.328717833,-156.692548333,5.1,0.0,3
1648665890.798025,1648665893,71.328717667,-156.6925475,5.2,0.0,3
1648665891.702719,1648665894,71.3287175,-156.692547167,5.2,0.0,3
1648665892.707753,1648665895,71.328717167,-156.692547,5.2,0.0,3
1648665893.712910,1648665896,71.328717167,-156.692546833,5.1,0.0,3
1648665894.717832,1648665897,71.328717,-156.6925465,5.1,0.0,3
1648665895.723352,1648665898,71.328716833,-156.692545833,5.2,0.0,3
1648665896.729117,1648665899,71.3287165,-156.6925455,5.2,0.0,3
1648665897.735353,1648665900,71.3287165,-156.692545333,5.2,0.0,3
1648665898.741615,1648665901,71.328716333,-156.692545333,5.3,0.0,3
1648665899.713097,1648665902,71.328716333,-156.6925455,5.3,0.0,3
1648665900.718828,1648665903,71.328716333,-156.692545333,5.3,0.0,3
1648665901.724809,1648665904,71.328716333,-156.692545667,5.4,0.0,3
1648665902.730621,1648665905,71.328716667,-156.692545667,5.4,0.0,3
1648665903.736858,1648665906,71.328716833,-156.692545667,5.5,0.0,3
1648665904.742773,1648665907,71.328716833,-156.692546,5.5,0.0,3
1648665905.749043,1648665908,71.328717,-156.692546167,5.6,0.0,3
1648665906.755406,1648665909,71.328716833,-156.692546167,5.6,0.0,3
1648665907.761583,1648665910,71.328717167,-156.692546333,5.7,0.0,3
1648665908.767839,1648665911,71.328717,-156.692546167,5.7,0.0,3
1648665909.773866,1648665912,71.328717333,-156.692545833,5.6,0.0,3
1648665910.779222,1648665913,71.328717,-156.692545167,5.6,0.0,3
1648665911.785126,1648665914,71.328716833,-156.692544833,5.6,0.0,3
1648665912.790580,1648665915,71.328716667,-156.692544833,5.5,0.0,3
1648665913.796417,1648665916,71.328716333,-156.692544833,5.5,0.0,3
1648665914.701370,1648665917,71.328716167,-156.692544833,5.5,0.0,3
1648665915.707516,1648665918,71.328716,-156.6925445,5.5,0.0,3
1648665916.713605,1648665919,71.328715833,-156.6925445,5.6,0.0,3
1648665917.719735,1648665920,71.328715833,-156.692544833,5.6,0.0,3
1648665918.725759,1648665921,71.328715833,-156.692544667,5.6,0.0,3
1648665919.732027,1648665922,71.328715833,-156.692544333,5.6,0.0,3
