computer_time,GPS_time,latitude,longitude,altitude,track,mode
1648089767.689911,1648089744,71.328737,-156.692522333,4.0,0.0,3
1648089768.691668,1648089745,71.328736667,-156.692522667,3.9,0.0,3
1648089769.693578,1648089746,71.3287345,-156.692522333,4.0,0.0,3
1648089770.695539,1648089747,71.328734667,-156.692524333,3.7,0.0,3
1648089771.697755,1648089748,71.328735,-156.692528167,3.7,0.0,3
1648089772.700016,1648089749,71.328735333,-156.69253,3.7,0.0,3
1648089773.701982,1648089750,71.328735167,-156.692531,3.5,0.0,3
1648089774.704111,1648089751,71.328735667,-156.692533833,3.5,0.0,3
1648089775.706100,1648089752,71.328734833,-156.692534667,3.6,0.0,3
1648089776.708090,1648089753,71.328734333,-156.692534667,3.6,0.0,3
1648089777.710078,1648089754,71.328733833,-156.6925345,3.5,0.0,3
1648089778.712089,1648089755,71.3287335,-156.692534333,3.4,0.0,3
1648089779.713949,1648089756,71.3287335,-156.692534167,3.4,0.0,3
1648089780.715939,1648089757,71.328733,-156.692533833,3.3,0.0,3
1648089781.717910,1648089758,71.328733,-156.692534667,3.3,0.0,3
1648089782.720068,1648089759,71.328732667,-156.692535333,3.3,0.0,3
1648089783.722090,1648089760,71.328732333,-156.692535833,3.3,0.0,3
1648089784.724188,1648089761,71.328731833,-156.6925355,3.2,0.0,3
1648089785.726093,1648089762,71.328731667,-156.692534833,3.2,0.0,3
1648089786.728075,1648089763,71.328731667,-156.6925355,3.2,0.0,3
1648089787.730088,1648089764,71.328731667,-156.692536,3.2,0.0,3
1648089788.732202,1648089765,71.328732,-156.692536,3.1,0.0,3
1648089789.734165,1648089766,71.328732,-156.6925365,3.1,0.0,3
1648089790.736241,1648089767,71.328731833,-156.692536333,3.1,0.0,3
1648089791.762068,1648089768,71.3287315,-156.692536333,3.1,0.0,3
1648089792.664639,1648089769,71.328731579,-156.69253641,2.261,330.5224,3
1648089793.667246,1648089770,71.328731694,-156.692535821,2.225,341.5305,3
1648089794.670596,1648089771,71.3287315,-156.692535333,3.0,0.0,3
1648089795.673980,1648089772,71.328731667,-156.692534667,2.9,0.0,3
1648089796.676420,1648089773,71.328731667,-156.692534,2.8,0.0,3
1648089797.678541,1648089774,71.328731833,-156.692534,2.8,0.0,3
1648089798.680572,1648089775,71.328732167,-156.6925345,2.8,0.0,3
1648089799.682766,1648089776,71.3287325,-156.692535833,2.8,0.0,3
1648089800.684775,1648089777,71.3287325,-156.692537167,2.8,0.0,3
1648089801.687086,1648089778,71.3287325,-156.692538,2.9,0.0,3
1648089802.689349,1648089779,71.3287325,-156.6925385,2.9,0.0,3
1648089803.691233,1648089780,71.328732667,-156.692538333,2.9,0.0,3
1648089804.693030,1648089781,71.328732833,-156.692537167,2.8,0.0,3
1648089805.694978,1648089782,71.3287335,-156.692536,2.7,0.0,3
1648089806.696952,1648089783,71.3287335,-156.692534667,2.6,0.0,3
1648089807.698881,1648089784,71.328734,-156.692534667,2.5,0.0,3
1648089808.700734,1648089785,71.328734667,-156.692535,2.5,0.0,3
1648089809.702992,1648089786,71.328734667,-156.692535167,2.5,0.0,3
1648089810.704999,1648089787,71.328735,-156.692535,2.6,0.0,3
1648089811.706979,1648089788,71.328735,-156.692535,2.6,0.0,3
1648089812.708855,1648089789,71.328734833,-156.692535167,2.6,0.0,3
1648089813.710800,1648089790,71.328734667,-156.692534833,2.7,0.0,3
1648089814.712906,1648089791,71.328734667,-156.692535,2.7,0.0,3
1648089815.714851,1648089792,71.328734667,-156.692534833,2.7,0.0,3
1648089816.716874,1648089793,71.3287345,-156.6925345,2.6,0.0,3
1648089817.718985,1648089794,71.328733333,-156.6925315,2.5,0.0,3
1648089818.720881,1648089795,71.328733833,-156.692530667,2.5,0.0,3
1648089819.722934,1648089796,71.328734167,-156.692530833,2.3,0.0,3
1648089820.724877,1648089797,71.328734833,-156.692530667,2.3,0.0,3
1648089821.727087,1648089798,71.328734667,-156.69253,2.2,0.0,3
1648089822.729120,1648089799,71.328734333,-156.692529,2.2,0.0,3
1648089823.731269,1648089800,71.328734667,-156.692528667,2.2,0.0,3
1648089824.733247,1648089801,71.328734667,-156.692527833,2.2,0.0,3
1648089825.735341,1648089802,71.328734833,-156.692527333,2.3,0.0,3
1648089826.737729,1648089803,71.328734667,-156.692526667,2.3,0.0,3
1648089827.739968,1648089804,71.328735167,-156.692526667,2.2,0.0,3
1648089828.742259,1648089805,71.328735667,-156.692526667,2.2,0.0,3
1648089829.744448,1648089806,71.328736,-156.6925265,2.0,0.0,3
1648089830.746548,1648089807,71.328736333,-156.692526333,1.9,0.0,3
1648089831.648304,1648089808,71.328736647,-156.692526626,1.003,147.476,3
1648089832.750564,1648089809,71.3287365,-156.6925265,1.6,0.0,3
1648089833.753599,1648089810,71.328736833,-156.692526167,1.5,0.0,3
1648089834.655490,1648089811,71.328736721,-156.692526436,0.663,0.0,3
1648089835.657601,1648089812,71.328737,-156.6925265,1.4,0.0,3
1648089836.659537,1648089813,71.328737167,-156.692526333,1.4,0.0,3
1648089837.661525,1648089814,71.328737,-156.692526167,1.3,0.0,3
1648089838.729745,1648089815,71.328736833,-156.692525333,1.2,0.0,3
1648089839.732060,1648089816,71.328736333,-156.692524667,1.1,0.0,3
1648089840.734199,1648089817,71.328736,-156.692524167,1.0,0.0,3
1648089841.736481,1648089818,71.328735833,-156.692524,1.0,0.0,3
1648089842.738761,1648089819,71.328735833,-156.692523833,1.1,0.0,3
1648089843.741081,1648089820,71.328736667,-156.692524,1.3,0.0,3
1648089844.743170,1648089821,71.328736833,-156.692526667,1.4,0.0,3
