computer_time,GPS_time,latitude,longitude,altitude,track,mode
1648578492.828338,1648578495,71.3287215,-156.692540167,10.0,0.0,3
1648578493.833728,1648578496,71.328721333,-156.692540167,10.1,0.0,3
1648578494.839473,1648578497,71.3287215,-156.6925405,10.1,0.0,3
1648578495.844341,1648578498,71.3287215,-156.692541167,10.0,0.0,3
1648578496.849288,1648578499,71.328721667,-156.692540833,10.0,0.0,3
1648578497.854754,1648578500,71.328722167,-156.6925405,10.1,0.0,3
1648578498.860051,1648578501,71.328722667,-156.692539833,10.1,0.0,3
1648578499.864637,1648578502,71.328722833,-156.6925395,10.1,0.0,3
1648578500.869948,1648578503,71.328723333,-156.692538333,10.2,0.0,3
1648578501.874116,1648578504,71.328723333,-156.692538667,10.2,0.0,3
1648578502.877988,1648578505,71.328723333,-156.692538833,10.2,0.0,3
1648578503.882580,1648578506,71.328723667,-156.692538333,10.2,0.0,3
1648578504.786955,1648578507,71.328723833,-156.692537667,10.2,0.0,3
1648578505.791451,1648578508,71.328724167,-156.6925375,10.2,0.0,3
1648578506.795416,1648578509,71.328724333,-156.6925375,10.2,0.0,3
1648578507.799631,1648578510,71.3287245,-156.6925375,10.2,0.0,3
1648578508.803951,1648578511,71.328724333,-156.692538333,10.1,0.0,3
1648578509.807947,1648578512,71.328724333,-156.692538667,10.1,0.0,3
1648578510.812714,1648578513,71.328724167,-156.692538833,10.1,0.0,3
1648578511.816820,1648578514,71.328723833,-156.692539667,10.0,0.0,3
1648578512.820195,1648578515,71.328723833,-156.692539833,10.0,0.0,3
1648578513.824812,1648578516,71.3287235,-156.692540833,9.9,0.0,3
1648578514.829428,1648578517,71.3287235,-156.6925405,9.9,0.0,3
1648578515.834510,1648578518,71.328723667,-156.692539667,9.8,0.0,3
1648578516.839436,1648578519,71.328723667,-156.69254,9.7,0.0,3
1648578517.844688,1648578520,71.328723667,-156.692540667,9.6,0.0,3
1648578518.850414,1648578521,71.3287235,-156.692541667,9.5,0.0,3
1648578519.855873,1648578522,71.328723333,-156.692542333,9.4,0.0,3
1648578520.861575,1648578523,71.328723333,-156.6925425,9.4,0.0,3
1648578521.867760,1648578524,71.328723333,-156.692541833,9.3,0.0,3
1648578522.873217,1648578525,71.328723333,-156.692541833,9.2,0.0,3
1648578523.878780,1648578526,71.328723,-156.692542,9.2,0.0,3
1648578524.783771,1648578527,71.328723,-156.692541667,9.2,0.0,3
1648578525.789889,1648578528,71.3287225,-156.692542,9.2,0.0,3
1648578526.795542,1648578529,71.3287225,-156.692541667,9.2,0.0,3
1648578527.801965,1648578530,71.3287225,-156.692541833,9.1,0.0,3
1648578528.807106,1648578531,71.328722833,-156.692540667,9.1,0.0,3
1648578529.813234,1648578532,71.328722833,-156.692540167,9.1,0.0,3
1648578530.785665,1648578533,71.328723167,-156.6925395,9.2,0.0,3
1648578531.792516,1648578534,71.328723333,-156.692539,9.3,0.0,3
1648578532.798757,1648578535,71.3287235,-156.6925385,9.3,0.0,3
1648578533.804275,1648578536,71.328723667,-156.6925385,9.3,0.0,3
1648578534.810396,1648578537,71.3287235,-156.692539167,9.3,0.0,3
1648578535.816755,1648578538,71.328723667,-156.692539667,9.2,0.0,3
1648578536.823054,1648578539,71.328723833,-156.69254,9.2,0.0,3
1648578537.829579,1648578540,71.328723833,-156.69254,9.2,0.0,3
1648578538.835347,1648578541,71.328724,-156.692539833,9.2,0.0,3
1648578539.842031,1648578542,71.328723833,-156.692539333,9.2,0.0,3
1648578540.848736,1648578543,71.328724167,-156.692538833,9.2,0.0,3
1648578541.854722,1648578544,71.328723667,-156.692538833,9.3,0.0,3
1648578542.860291,1648578545,71.328723167,-156.692538667,9.3,0.0,3
1648578543.865952,1648578546,71.328722833,-156.692539,9.2,0.0,3
1648578544.871816,1648578547,71.328722667,-156.692538833,9.1,0.0,3
1648578545.877728,1648578548,71.328722833,-156.692539167,9.1,0.0,3
1648578546.883545,1648578549,71.328723,-156.692539333,9.0,0.0,3
1648578547.788976,1648578550,71.328723,-156.692539667,9.0,0.0,3
1648578548.794836,1648578551,71.328723167,-156.692540167,9.0,0.0,3
1648578549.800604,1648578552,71.328723667,-156.692539333,8.9,0.0,3
1648578550.805957,1648578553,71.328724,-156.692539,8.9,0.0,3
1648578551.811766,1648578554,71.328724,-156.692539167,8.9,0.0,3
1648578552.817258,1648578555,71.328724333,-156.692538667,8.9,0.0,3
1648578553.823384,1648578556,71.328725167,-156.692537833,8.9,0.0,3
1648578554.828725,1648578557,71.328725833,-156.692536667,8.9,0.0,3
1648578555.834493,1648578558,71.328726167,-156.692535833,8.8,0.0,3
1648578556.840256,1648578559,71.328726333,-156.692535667,8.8,0.0,3
1648578557.845754,1648578560,71.328726667,-156.6925345,8.7,0.0,3
1648578558.851583,1648578561,71.328726333,-156.692534167,8.7,0.0,3
1648578559.857270,1648578562,71.328726333,-156.6925335,8.7,0.0,3
1648578560.863134,1648578563,71.328726333,-156.692533,8.6,0.0,3
1648578561.869186,1648578564,71.328726167,-156.692533,8.6,0.0,3
1648578562.874977,1648578565,71.328726333,-156.692533333,8.5,0.0,3
1648578563.880900,1648578566,71.328726333,-156.692533833,8.4,0.0,3
1648578564.785950,1648578567,71.328726167,-156.692534667,8.4,0.0,3
1648578565.791923,1648578568,71.328725833,-156.692536,8.4,0.0,3
1648578566.798146,1648578569,71.3287255,-156.6925365,8.3,0.0,3
1648578567.804291,1648578570,71.328725167,-156.692536667,8.3,0.0,3
1648578568.810129,1648578571,71.328724667,-156.692536667,8.2,0.0,3
1648578569.816048,1648578572,71.328724167,-156.692537,8.1,0.0,3
1648578570.821795,1648578573,71.3287235,-156.6925375,8.0,0.0,3
